ID,Cena,localization,latitude,longitude,Oferta_od,Kategoria,Marka_pojazdu,Model_pojazdu,Rodzaj_paliwa,Moc,Pojemnosc_skokowa,Liczba_drzwi,Skrzynia_biegow,Wersja,Generacja,Segment,Kolor,Przebieg,Rok_produkcji,Naped,Spalanie_W_Miescie,Typ_nadwozia,Emisja_CO2,Liczba_miejsc,Rodzaj_koloru,Kraj_pochodzenia,Pierwszy_wlasciciel,Bezwypadkowy,Serwisowany_w_ASO,Stan,VAT_marza,Pierwsza_rejestracja,Numer_rejestracyjny_pojazdu,Zarejestrowany_w_Polsce,Filtr_czastek_stalych,Tuning,Mozliwosc_finansowania,Uszkodzony,Faktura_VAT,Spalanie_W_Cyklu_Mieszanym,Spalanie_Poza_Miastem,Okres_gwarancji_producenta,Leasing,Miesieczna_rata,lub_do_przebieg_km,Gwarancja_dealerska_w_cenie,Homologacja_ciezarowa,Oplata_poczatkowa,Liczba_pozostalych_rat,Wartosc_wykupu,Kierownica_po_prawej_Anglik,Zarejestrowany_jako_zabytek,Link
6089590697,93500.0,,,,Firmy,Osobowe,Abarth,595,Benzyna,145,1368,3,Manualna,,,,Żółty,1,2021,,,Auta małe,,,,,,Tak,,Nowe,,,,,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-od-reki-595-1-4-t-jet-145km-zolty-modena-ID6E7iIN.html#49f0648cc2
6088837877,69900.0,,,,Firmy,Osobowe,Abarth,595,Benzyna,145,1368,3,Manualna,,,,Szary,25191,2018,Na przednie koła,,Auta małe,,4,,Niemcy,,Tak,,Używane,Tak,,,,,,Tak,,,,,,Tak,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-darmowa-dostawa-145km-pdc-aut-klima-bluetooth-hist-serwisowa-ID6E48Sx.html#49f0648cc2
6089420759,61900.0,,,,Firmy,Osobowe,Abarth,595,Benzyna,145,1368,3,Manualna,,,,Czerwony,30631,2017,Na przednie koła,,Auta małe,,4,,,,Tak,,Używane,Tak,,,,,,Tak,,,,,,Tak,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-darmowa-dostawa-145-km-pdc-klima-historia-serwis-ID6E6AwR.html#49f0648cc2
6089420383,67500.0,,,,Firmy,Osobowe,Abarth,595,Benzyna,145,1368,3,Manualna,,,,Szary,18993,2019,Na przednie koła,,Auta małe,,4,,,,Tak,,Używane,Tak,,,,,,Tak,,,,,,Tak,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-darmowa-dostawa-klima-multifunkcja-hist-serw-ID6E6ApN.html#49f0648cc2
6089627612,37900.0,"Warszawa, Mazowieckie, Śródmieście",52.2328098,21.019067,Osoby prywatnej,Osobowe,Abarth,Grande Punto,Benzyna,165,1400,3,Manualna,,,,Biały,86220,2010,Na przednie koła,,Auta miejskie,,5,Perłowy,Polska,,,Tak,Używane,,12/11/2010,WI753HJ,Tak,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-grande-punto-evo-1-4-turbo-polski-salon-ID6E7skc.html#49f0648cc2
6089612872,121000.0,"ul. Karkonoska 45 - 53-015 Wrocław, Dolnośląskie (Polska)",51.0640542,16.9997513,Firmy,Osobowe,Abarth,595,Benzyna,180,1400,3,Manualna,,,,Szary,2000,2021,Na przednie koła,,Auta małe,,4,Metalik,,Tak,Tak,Tak,Nowe,,01/07/2021,,Tak,,,,,Tak,,,07/07/2023,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-abarth-595c-competizione-180km-cabrio-ID6E7ous.html#49f0648cc2
6088771922,61900.0,,,,Firmy,Osobowe,Abarth,595,Benzyna,145,1368,3,Manualna,,,,Czerwony,64478,2016,Na przednie koła,,Auta małe,,4,,Włochy,,Tak,,Używane,Tak,,,,,,Tak,,,,,,Tak,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-darmowa-dostawa-145km-klima-bluetooth-hist-serwisowa-ID6E3RIK.html#49f0648cc2
6089242070,103800.0,"Roździeńskiego 170 - 40-203 Katowice, Zawodzie (Polska)",50.2620268,19.044077,Firmy,Osobowe,Abarth,595,Benzyna,165,1398,4,Manualna,,,,Czarny,1,2021,,,Auta małe,,4,Metalik,Polska,,Tak,,Nowe,Tak,,,,,,Tak,,Tak,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-f595-1-4-16v-t-jet-165km-dostepny-od-reki-ID6E5Q1M.html#49f0648cc2
6089331290,59414.76,"Warszawa, Mazowieckie, Mokotów",52.1939874,21.0457809,Osoby prywatnej,Osobowe,Abarth,595,Benzyna,145,1400,3,Manualna,,,,Czarny,64000,2018,Na przednie koła,8.80,Auta małe,154,4,Metalik,Polska,Tak,Tak,Tak,Używane,,18/07/2018,WI856HJ,Tak,,,,,Tak,,,,Tak,"698,14 PLN",,,,20 000 PLN,34,15 678 PLN,,,https://www.otomoto.pl/oferta/abarth-595-abarth-595-cesja-leasingu-salon-polska-1-wlasciciel-ID6E6deO.html#49f0648cc2
6086108769,87000.0,"ul. Karkonoska 45 - 53-015 Wrocław, Dolnośląskie (Polska)",51.0640542,16.9997513,Firmy,Osobowe,Abarth,595,Benzyna,145,1398,3,Manualna,,,,Żółty,3,2021,Na przednie koła,,Auta małe,,4,,,,Tak,,Nowe,,,,,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-abarth-595-145-km-demo-naglosnienie-beats-szklany-dach-ID6DSGUF.html#49f0648cc2
6086107332,126700.0,"ul. Karkonoska 45 - 53-015 Wrocław, Dolnośląskie (Polska)",51.0640542,16.9997513,Firmy,Osobowe,Abarth,595,Benzyna,180,1398,3,Manualna,,,,Czarny,3,2021,Na przednie koła,,Auta małe,,4,,,,Tak,,Nowe,,,,,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-abarth-595-competizione-180-km-131-rally-jeden-w-polsce-ID6DSGxu.html#49f0648cc2
6084610823,127921.0,"ul. Karkonoska 45 - 53-015 Wrocław, Dolnośląskie (Polska)",51.0640542,16.9997513,Firmy,Osobowe,Abarth,595,Benzyna,180,1398,3,Manualna,,,,Niebieski,3,2021,Na przednie koła,,Auta małe,,4,Matowy,,,Tak,,Nowe,,,,,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-abarth-595-180-km-competizione-edycja-abarth-131-rally-jeden-w-polsce-ID6DMpef.html#49f0648cc2
6087073327,41700.0,"Kalisz, Wielkopolskie",51.74736505,18.079590087700034,Osoby prywatnej,Osobowe,Abarth,500,Benzyna,160,1368,3,Manualna,,,,Czarny,94300,2013,Na przednie koła,,Auta małe,,4,Metalik,,,Tak,,Używane,,,,Tak,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-500-1-4-t-jet-sport-160-km-manual-alu-17-ID6DVJQ3.html#49f0648cc2
